link,Attraction_Title,Segmento,Attration_rate,Attration_evaluation,Name_of_contributor,Tittle_of_Contribution,Rate_of_contribution,Date_of_contribution,Contribution,Numbers_of_fotos,Attration_Excellent,Attration_Very_good,Attration_Average,Attration_Poor,Attration_Terrible,Reviews_user,Origin_of_contributor,Contributor_activity,Date_of_visit,Helpful_to,Reviews_rating,Reviews_title,Reviews_body,Who_is_asking,Where_the_asker_is_from,Asker_activity,Question,Aswer,Answer_activity,Answer_orign,Answer,Length_of_review,Grupo
https://www.tripadvisor.com/Attraction_Review-g2053365-d4057258-Reviews-Pedra_do_Sal_Beach-Parnaiba_State_of_Piaui.html,Pedra do Sal Beach,Sol e Praia,4,450,By Elaine Sanae Sumikawa,“Lindo”,5,Aug 2019,"Esta é uma praia de pescdores. Não é
Legal para banho mas tem um pôr do sol inssquecível!! 

This beach is about 30 from Parnaíba.  I found a better daa, calm and clean sea!  We stayed at Pousada Vila Itaqui!  Good infrastructure, great food and you can use the parking at no charge.  Beautiful country!",238,153,144,115,33,5,Elaine Sanae Sumikawa,"-23.6824124,-46.5952992",1062,"August 10, 2019",0,5,Lindo,"Esta é uma praia de pescdores. Não éLegal para banho mas tem um pôr do sol inssquecível!! This beach is about 30 from Parnaíba.  I found a better daa, calm and clean sea!  We stayed at Pousada Vila Itaqui!  Good infrastructure, great food and you can use the parking at no charge.  Beautiful country!",NA,NA,NA,NA,NA,NA,NA,NA,54,Promotor
NA,Pedra do Sal Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sebastian D,NA,14,"August 6, 2019",0,5,my favoured beach close to Parnaíba,"OF all five beaches we tried out close to Parnaíba, this was the one I liked most -- beatiful (for the rocks), best waves to have fun in the water (in the part east of the rocks), many modest barracks to hang out in the shadow, but best service and food (go to 'bar da amizade' and ask for a hammock).",NA,NA,NA,NA,NA,NA,NA,NA,61,Promotor
NA,Pedra do Sal Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vagner Araujo,"-23.6824124,-46.5952992",17,"August 7, 2018",0,4,Slow monday,"We visited Pedra do Sal on a Monday and didn’t get to see much. We learned that many of the food kiosks are closed on Mondays because it is not a typical visiting day. Nevertheless, the view was beautiful.",NA,NA,NA,NA,NA,NA,NA,NA,39,Promotor
NA,Pedra do Sal Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fabrizio Z,"41.9100711,12.5359979",77,"September 6, 2016",0,5,Nice,"Nice beach, when I have been there the water wasn't that clean, like super brown, but It was for the period, probably in the right period you have nice water also. super for surfing!",NA,NA,NA,NA,NA,NA,NA,NA,34,Promotor
NA,Pedra do Sal Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Renata Menezes,NA,29,"August 11, 2016",0,4,Small Beach,"A nice view, a nice sunset, some rocks where you can sunbathe... Near the city, I got there by bus..",Freedom03795878171,NA,NA,No litoral do piaui tem praia naturista tem pousada perto proximo,Dreamer30536802366,NA,NA,Você pode consultar os locais naturistas na página da feredação.,20,Promotor
https://www.tripadvisor.com/Attraction_Review-g2348900-d2414966-Reviews-Coqueiro_Beach-Luis_Correia_State_of_Piaui.html,Coqueiro Beach,Sol e Praia,45,408,NA,“Warm water”,4,Mar 2021,"The beach is nice and tidy, there are nice hotels and restaurants on it you can chill and bath, the water is warm and clear.
Please follow us on instagram:
@mapamunditravel",185,211,145,44,5,3,marcusrjr,"-23.6824124,-46.5952992",1595,"March 27, 2021",2,4,Warm water,"The beach is nice and tidy, there are nice hotels and restaurants on it you can chill and bath, the water is warm and clear.
Please follow us on instagram:
@mapamunditravel",NA,NA,NA,NA,NA,NA,NA,NA,31,Promotor
NA,Coqueiro Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Renata Menezes,NA,29,"August 11, 2016",0,5,Beach,"The best beach to sunbathe, rest, enjoy the sea...
It was easy to get there by bus and I could have an amazing stay there.",NA,NA,NA,NA,NA,NA,NA,NA,25,Promotor
NA,Coqueiro Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Valmir S,NA,23,"July 2, 2015",0,5,Clean gorgeous and silent,"If you like remote beaches with clean sand and crystal clear water, that's the place to be. Not far away from Parnaiba, only twenty minutes driving. The beach is immaculate and the water is very calm, perfect for the newcomers who are not used to swim in the ocean. The local market is great and the food is not that expensive. Amazing place",florio q,"-3.04466205,-59.9671039",NA,Os preços de hotéis e pousadas. Para 10 dias privadas praias,NA,NA,NA,NA,63,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amar Pousada,"-5.0937396,-42.74107815",1,"December 19, 2021",0,5,É a Praia mais linda do Piaui para tomar banho e conhecer um estuário lindo e é o Melhor lugar do Brasil para kitesurfe,Melhor e mais bonita praia do Piaui ainda praia que tem mais ventos bons para o kitesurfe tornando um dos melhores lugares,NA,NA,NA,NA,NA,NA,NA,NA,22,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Debora Karine,"-2.89040355,-41.64943345",2,"January 1, 2021",0,4,Gostei praia mais tranquila,"Praia excelente para banho, limpa, boa oferta de restaurantes e que também ficam próximos ao mar, o acesso à praia de 3km é em estrada de terra ao sair da PI. Mas para quem quer mais tranquilidade é uma boa opção.",NA,NA,NA,NA,NA,NA,NA,NA,41,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Beth,"-15.72176215,-47.93735785",86,"January 10, 2020",0,5,Descanso praia do Arrombado,"Praia linda com ondas para as crianças brincarem. Recomendo a barraca Maresia, atendimento nota 1000. A funcionária Rose o funcionário Cauan são uma simpatia de pessoas. Pratos deliciosos e caipifruta maravilhosa. Aproveitem!!",NA,NA,NA,NA,NA,NA,NA,NA,32,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PauloFerraz2013,"-25.4951166,-49.2897982",245,"August 22, 2019",2,5,Linda praia,"Praia muito linda, limpa , calma, de águas verdes e areia branca. A praia e grande e Possui algumas barracas .",NA,NA,NA,NA,NA,NA,NA,NA,21,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lidia M,"-23.80473775,-46.53175045",90,"August 8, 2019",1,4,ONDAS E UM LINDO MAR AZUL ESVERDEADO,"a praia do arrombado, nome engraçado e pouco comum, vem por conta da existencia de rio próximo que, na época da cheia, vaza em direção ao mar. Nela tanto se faz esportes aquaticos quanto fluviais. O mar é composto de trechos quentes e frios, por cona de as águas do rio e do mar não se misturarem automaticamente. São muitas piscinas que se forma e vê-se a prática de esportes radicais, o que vai enfeitar ainda mais suas fotos",NA,NA,NA,NA,NA,NA,NA,NA,79,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Murilo Deirane,"-1.2730057,-48.46026625",31,"June 26, 2019",0,5,Um bela surpresa,"Com pouca ""grife"" e com um nome estranho, não estava esperando muito dessa praia. Porém, por insistência de um amigo nascido na região, fui conhecer e não me arrependi.

Praia com movimento tranquilo, estrutura legal e mar delicioso (principalmente se você gosta de ondas). Vale muito a pena.",NA,NA,NA,NA,NA,NA,NA,NA,48,Promotor
NA,Arrombado Beach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geraldo B,"-5.0937396,-42.74107815",35,"January 2, 2019",0,5,Praia,"A praia do arrombado fica a 20 minutos ou menos do centro de luis correia. Tem ótimas ondas e é menos frequentada, então é melhor ainda. É a quarta praia sentido Barra Grande, ou seja, fica depois de atalaia, peito de moça e coqueiro, respectivamente.",NA,NA,NA,NA,NA,NA,NA,NA,45,Promotor
